Country,Trials,Trial Phase,Diseases,Institution
Nigeria,All Clinical Trials,Phase-3,Cancer,Lagos University Teaching Hospital; Lagos State University Teaching Hospital
Nigeria,All Clinical Trials,Phase-2,Circulatory System,General hospital ogbomoso
Nigeria,All Clinical Trials,Phase-2,Circulatory System,St Mary Catholic church Enugu; St Joseph Catholic church Emene
Nigeria,All Clinical Trials,Phase-4,Digestive System,Lagos University Teaching Hospital
Nigeria,All Clinical Trials,Phase-4,Endocrine,Federal Medical Centre
Nigeria,All Clinical Trials,Phase-2,Endocrine,Aroh Medical Clinic Ukehe
Nigeria,All Clinical Trials,Phase-3,Endocrine,Lagos University Teaching Hospital; Lagos Island Maternity Hospital; Mother and Child Centre Amuwo Odofin; Simpson Primary Health Centre Ebute Metta; Iwaya Primary Health Centre Yaba; Aminu Kano Teaching Hospital; Sheikh Jeddah General Hospital; Nuhu Bammali General Hospital; Kumbotsu Comprehensive Primary Health Centre; Sharada Primary Health Centre; Kabuga Comprehensive Primary Health Centre
Nigeria,All Clinical Trials,Phase-3,Endocrine,Federal Medical centre ; Sacred Heart Hospital Lantoro Abeokuta
Nigeria,Infant Clinical Trials,Phase-4,Endocrine,Primary Health Centre Ndon Ebom; Primary Health Centre Mbak Etoi
Nigeria,Infant Clinical Trials,Phase-3,Endocrine,Federal Medical centre ; Sacred Heart Hospital Lantoro Abeokuta
Nigeria,All Clinical Trials,Phase-4,Endocrine,Primary Health Centre Ndon Ebom; Primary Health Centre Mbak Etoi
Nigeria,All Clinical Trials,Phase-4,Eye,Lagos State University Teaching Hospital Eye clinic
Nigeria,All Clinical Trials,Phase-3,Genetic,Strathmore University; Lagos University Teaching Hospital Haematology; Barau Dikko Teaching Hospital Kaduna State University; University of Nigeria; KEMRI CRDR; Haematology and Blood Transfusion Unit Department of Human Pathology; KEMRI CCR Butere County Hospital; Aminu Kano Teaching Hospital; University of Abuja; University of Calabar Teaching Hospital
Nigeria,All Clinical Trials,Phase-2,Genetic,Aminu Kano Teaching Hospital
Nigeria,All Clinical Trials,Phase-2,Haematological Disorders,Nnamdi Azikiwe Uiversity Teaching Hospital Nnewi; University Of Nigeria Teaching Hospital; Parklane Hospital
Nigeria,All Clinical Trials,Phase-3,Haematological Disorders,Murtala Mohammed Specialist Hospital Kano; Aminu Kano Teaching Hospital Kano
Nigeria,All Clinical Trials,Phase-3,Haematological Disorders,Lagos University Teaching Hospital; Department of Paediatrics University of Calabar Teaching Hospital; University of Abuja Teaching Hospital; Nigeria Teaching Hospital; NIMR Tanga Centre; National Institute for Medical Research Mbeya Medical Research Center NIMR MMRC; KorleBu Teaching Hospital Child Health ; Kintampo Health Research Center ; Navrongo Health Research Center ; University of Health and Allied Sciences ; Joint Clinical Research Centre; Getrudes Childrens Hospital; KEMRI Siaya Clinical Research Annexe; KEMRI  Centre for Respiratory Disease Research; KEMRI Kondele Centre for Clinical Research; KEMRI Kombewa Kombewa Clinical Research Centre; CREATES Strathmore University Medical Centre Centre for Research in Therapeutic Sciences
Nigeria,All Clinical Trials,Phase-3,Haematological Disorders,University of Nigeria Teaching Hospital
Nigeria,All Clinical Trials,Phase-3,Haematological Disorders,Lagos University Teaching Hospital; Lagos Island Maternity Hospital; Mother and Child Centre Amuwo Odofin; Simpson Primary Health Centre Ebute Metta; Iwaya Primary Health Centre Yaba; Aminu Kano Teaching Hospital; Sheikh Jeddah General Hospital; Nuhu Bammali General Hospital; Kumbotsu Comprehensive Primary Health Centre; Sharada Primary Health Centre; Kabuga Comprehensive Primary Health Centre
Nigeria,All Clinical Trials,Phase-2,Haematological Disorders,Aminu Kano Teaching Hospital
Nigeria,All Clinical Trials,Phase-2,Haematological Disorders,Lagos University Teaching Hospital; Aminu Kano Teaching Hospital ; University of Ibadan University College Hospital ; Kenya Medical Research Institute ; KEMRI CRDR SIAYA SITE ; Center for Research in Therapeutic Sciences Strathmore University Medical Centre; Gertrudes Childrens Hospital ; Tororo General Hospital Infectious Disease Research Collaboration; Makerere University College of Health Sciences; Mbale Regional Refferal Hospital Mbale Clinical Research Institute
Nigeria,All Clinical Trials,Phase-3,Haematological Disorders,University of Nigeria Teaching Hospital; Lagos University Teaching Hospital ; University College Hospital; Aminu Kano Teaching Hospital; Barau Dikko Teaching Hospital Kaduna State University; Komfo Anokye Teaching Hospital; University of Ghana Medical School College of Health Sciences Korle Bu Teaching Hospital; Gertrudes Childrens Hospital; University of Calabar Teaching Hospital; Centre of Excellence for Sickle Cell Research and Training University of Abuja; Center for Research In Therapeutic Sciences CREATES Strathmore University Medical Centre; Kenya Medical Research Institute KEMRI Centre for Respiratory Disease Research CRDR; Kenya Medical Research Institute KEMRI Kondele Childrens Hospital; Kenya Medical Research Institute KEMRI CRDR Siaya Clinical Research Annex; KEMRI Centre for Clinical Research Butere County Hospital
Nigeria,All Clinical Trials,Phase-2,Haematological Disorders,Aminu Kanu Teaching Hospital; Lagos University Teaching Hospital; The University of Ibadan University College Hospital 
Nigeria,All Clinical Trials,Phase-2,Haematological Disorders,Chukwuemeka Odumegwu Ojukwu University Teaching Hospital
Nigeria,Infant Clinical Trials,Phase-3,Haematological Disorders,Lagos University Teaching Hospital; Department of Paediatrics University of Calabar Teaching Hospital; University of Abuja Teaching Hospital; Nigeria Teaching Hospital; NIMR Tanga Centre; National Institute for Medical Research Mbeya Medical Research Center NIMR MMRC; KorleBu Teaching Hospital Child Health ; Kintampo Health Research Center ; Navrongo Health Research Center ; University of Health and Allied Sciences ; Joint Clinical Research Centre; Getrudes Childrens Hospital; KEMRI Siaya Clinical Research Annexe; KEMRI  Centre for Respiratory Disease Research; KEMRI Kondele Centre for Clinical Research; KEMRI Kombewa Kombewa Clinical Research Centre; CREATES Strathmore University Medical Centre Centre for Research in Therapeutic Sciences
